Air Date;Directed By;Episode;Episode Synopsis;Episode Title;Label - Filter Part 2;link;rating;runtime;Season;Written By;Filter - Chandler;Filter - Guests;Filter - Joey;Filter - Monica;Filter - Phoebe;Filter - Rachel;Filter - Ross;Average - Chandler;Average - Joey;Average - Monica;Average - Phoebe;Average - Rachel;Average - Ross;Ben Geller;Carol Willick;Chandler Bing;Charlie Wheeler;Emily Waltham;Frank Buffay Jr.;Gunther;Imdb Rating;Jack Geller;Janice Litman Goralnik;Joey Tribbiani;Judy Geller;Mike Hannigan;Monica Geller;Phoebe Buffay;Rachel Green;Richard Burke;Ross Geller;Susan Bunch;Us Views Millions
22/9/1994;James Burrows;1;Rachel leaves Barry at the alter and moves in with Monica. Monica goes on a date with Paul the wine guy, who turns out to be less than sincere. Ross is depressed about his failed marriage. Joey compares women to ice cream. Everyone watches Spanish soaps. Ross reveals his high school crush on Rachel.;The Pilot;;https://play.hbomax.com/episode/urn:hbo:episode:GXe72vg29LLPDfgEAABCC;TV-PG;22 min;1;David Crane & Marta Kauffman;Include;Include;Include;Include;Include;Include;Include;13,95%;13,84%;13,33%;13,06%;15,70%;15,42%;0;0;0,116082225;0;0;0;0;8,3;0;0;0,124546554;0;0;0,209794438;0,078295042;0,228839178;0;0,154776300;0;21,5
29/9/1994;James Burrows;2;Ross finds out his ex-wife (Carol) is pregnant, and he has to attend the sonogram along with Carol's lesbian life-partner, Susan. Ugly Naked Guy gets a thigh-master. Ross and Monica's parents come for dinner, which stresses Monica out. Ross and Rachel console each other. Rachel returns the ring to Barry, who is much less upset about the break-up than expected.;The One with the Sonogram at the End;;https://play.hbomax.com/episode/urn:hbo:episode:GXdbS4wRby8PCwwEAACUq;TV-PG;22 min;1;David Crane & Marta Kauffman;Include;Include;Include;Include;Include;Include;Include;13,95%;13,84%;13,33%;13,06%;15,70%;15,42%;0;1;0,099742046;0;0;0;0;8,1;0;0;0,024935512;1;0;0,103611350;0,049441101;0,173688736;0;0,341788478;1;20,2
6/10/1994;James Burrows;3;"Ross discovers the fate of his childhood pet, Chichi. Chandler starts smoking again; when the group complains, he diverts their attention to their own faults. Phoebe gets money she doesn't want; she complains and gets more; she gives it away and gets a can of soda in return... which contains a thumb. The beverage company gives her $7000. Monica's new boyfriend (Alan) is a hit with her friends, but Monica's not too sure.";The One with the Thumb;;https://play.hbomax.com/episode/urn:hbo:episode:GXdbTHwrSJJuAuwEAACfL;TV-PG;22 min;1;Jeffrey Astrof & Mike Sikowitz;Include;Include;Include;Include;Include;Include;Include;13,95%;13,84%;13,33%;13,06%;15,70%;15,42%;0;0;0,196679438;0;0;0;0;8,2;0;0;0,079608344;0;0;0,198382290;0,197105151;0,086845466;0;0,129842486;0;19,5
13/10/1994;James Burrows;4;"Ross, upset about it being the anniversary of his first time with Carol, goes to a hockey game with Chandler and Joey and gets a puck in the face; they end up at the hospital, where Ross reveals that Carol is the only woman he's even been intimate with. Rachel gets a visit from her old friends, which depresses her about her life. The women have a slumber party, which isn't very fun until they spy on George Stephanopoulos.";The One with George Stephanopoulos;;https://play.hbomax.com/episode/urn:hbo:episode:GXdbSpwfqnKXCPQEAACcQ;TV-PG;22 min;1;Alexa Junge;Include;Include;Include;Include;Include;Include;Include;13,95%;13,84%;13,33%;13,06%;15,70%;15,42%;0;0;0,148444071;0;0;0;0;8,1;0;0;0,082842725;0;0;0,166105971;0,129941127;0,206476030;0;0,166947014;0;19,7
20/10/1994;Pamela Fryman;5;"Chandler and Phoebe decide to break up with Janice and Tony on the same night; Phoebe's goes really well but Chandler has a harder time. Ross arranges to do laundry with Rachel and Monica; Monica cancels, leaving just the two of them; Rachel reveals she's never done laundry before... and accidentally dyes all her white clothes pink. Joey wants his ex-girlfriend (Angela) to break up with her boyfriend (Bob), so he arranges for Monica and him to double date with them... but he tells Monica that Angela and Bob are siblings. Ugly Naked Guy lays kitchen tile. Janice buys Chandler Bullwinkle socks. Rachel is so happy about her laundry experience that she kisses Ross.";The One with the East German Laundry Detergent;;https://play.hbomax.com/episode/urn:hbo:episode:GXdbSuwWx5cPCwwEAACR9;TV-PG;22 min;1;Jeff Greenstein & Jeff Strauss;Include;Include;Include;Include;Include;Include;Include;13,95%;13,84%;13,33%;13,06%;15,70%;15,42%;0;0;0,138650307;0;0;0;0;8,5;0;1;0,157464213;0;0;0,125971370;0,084662577;0,151738241;0;0,215950920;0;18,6
27/10/1994;Arlene Sanford;6;"Everyone attends Joey's new musical, Freud! While there, Chandler meets a beautiful and exotic woman, Aurora, and begins dating her. Joey gets picked up by the Estelle Leonard Talent Agency, which gets him a job as Al Pacino's butt double. However, he loses the job by overacting. Rachel cleans the apartment by herself for the first time; however, she moves the green ottoman, which starts Monica obsessing. Chandler finds out Aurora is married and already has another boyfriend. When she picks up still another, Chandler isn't sure he can take it.";The One with the Butt;;https://play.hbomax.com/episode/urn:hbo:episode:GXdbTCwRFvKXCPQEAACiH;TV-14;20 min;1;Adam Chase & Ira Ungerleider;Include;Include;Include;Include;Include;Include;Include;13,95%;13,84%;13,33%;13,06%;15,70%;15,42%;0;0;0,339584183;0;0;0;0;8,1;0;0;0,155727680;0;0;0,150020383;0,070525887;0,064410925;0;0,086832450;0;18,2
3/11/1994;James Burrows;7;"New York City is blacked out (due to a mishap on Mad About You). Chandler is trapped in an ATM vestibule with Jill Goodacre. The rest of the gang hangs out at Monica and Rachel's apartment. Ugly Naked Guy lights a bunch of candles and has a slight accident. While trying to share his feelings with Rachel, Ross is attacked by a cat. While searching for the cat's owner, Rachel and Phoebe meet ""the Weird Man"", known in later episodes as Mr. Heckles. He tries to claim the cat, but it obviously isn't his. The cat turns out to belong to Paolo, an Italian hunk who lives in the building and doesn't speak much English.";The One with the Blackout;;https://play.hbomax.com/episode/urn:hbo:episode:GXdbSzwFvgsPCwwEAACTF;TV-PG;22 min;1;Jeffrey Astrof & Mike Sikowitz;Include;Include;Include;Include;Include;Include;Include;13,95%;13,84%;13,33%;13,06%;15,70%;15,42%;0;0;0,1825;0;0;0;0;9;0;0;0,12;0;0;0,0705;0,151;0,1605;0;0,2375;0;23,5
10/11/1994;James Burrows;8;"Chandler finds out a lot of people think he's gay when they first meet him; he tries to find out why. Paolo gives Rachel calls and shoes from Rome. Ross and Monica's grandmother dies... twice; At the funeral, Joey watches a football game on a portable TV; Ross falls into an open grave and hurts his back, then gets a bit loopy on muscle relaxers. Monica tries to deal with her mother's criticisms.";The One Where Nana Dies Twice;;https://play.hbomax.com/episode/urn:hbo:episode:GXdbSpwWQEcPCwwEAACQm;TV-14;22 min;1;Marta Kauffman & David Crane;Include;Include;Include;Include;Include;Include;Include;13,95%;13,84%;13,33%;13,06%;15,70%;15,42%;0;0;0,177435897;0;0;0;0;8,1;0;0;0,036923077;1;0;0,119487179;0,080512821;0,078461538;0;0,276923077;0;21,1
17/11/1994;James Burrows;9;"Joey poses for a health poster, but later finds out he's become the V.D. poster boy. Ross finds out Susan is reading to the unborn baby and decides he must, too. Ross and Monica plan their own Thanksgiving dinner because their parents are away; Phoebe joins them, because she celebrates with her grandmother and her grandmother's boyfriend... in December... because he's lunar; Joey joins in because his family thinks he has V.D.; Monica has to make three kinds of potatoes. Chandler plans to boycott Thanksgiving because his parents announced their divorce on that day; Rachel has plans to go to Vale to be with her family. The Underdog balloon breaks free during the parade; everyone goes to the roof to watch but they get locked out of Monica's apartment; the dinner is burned and Rachel misses her flight. Everyone ends up eating Chandler's cheese sandwiches and Funyuns for Dinner. Ugly Naked Guy has Thanksgiving dinner with Ugly Naked Gal, and there's Ugly Naked Dancing.";The One Where Underdog Gets Away;;https://play.hbomax.com/episode/urn:hbo:episode:GXdbSTAqknVLDOQEAAABL;TV-PG;22 min;1;Jeff Greenstein & Jeff Strauss;Include;Include;Include;Include;Include;Include;Include;13,95%;13,84%;13,33%;13,06%;15,70%;15,42%;0;1;0,166805671;0;0;0;0;8,2;0;0;0,108423686;0;0;0,195162636;0,093411176;0,182235196;0;0,175145955;1;23,1
15/12/1994;Peter Bonerz;10;"Ross gets a monkey named Marcel. Everyone makes a pact not to bring dates to their New Years Eve Party. While performing at Central Perk, Phoebe confronts some noisy boys and ends up dating one of them: David, Scientist Guy. Their relationship develops well until he gets offered a grant to go to Minsk, and doesn't know what to do. Everyone breaks the no-date pact except Ross; Phoebe brings David, Joey brings Sandy, someone he met while working as an elf in a department store; Rachel plans to bring Paolo, who's flying in earlier than expected; Chandler snaps and asks Janice; Monica invites Fun Bobby; Ross just brings Marcel. However, no one ends up with their date (or monkey) at midnight.";The One with the Monkey;;https://play.hbomax.com/episode/urn:hbo:episode:GXdbS4wThDZuAuwEAACa_;TV-PG;22 min;1;Adam Chase & Ira Ungerleider;Include;Include;Include;Include;Include;Include;Include;13,95%;13,84%;13,33%;13,06%;15,70%;15,42%;0;0;0,154538341;0;0;0;0;8,1;0;1;0,053990610;0;0;0,055164319;0,225743349;0,100547731;0;0,156494523;0;19,9
